MAP2K4	P45985
LGI1	O95970
GRIA2	P42262
GRIA3	P42263
REM1	O75628
RRAD	P55042
PPP1CC	P36873
CNOT7	Q9UIV1
TOB1	P50616
PRKACG	P22612
PRKAR2B	P31323
PMS2	P54278
TLX1	P31314
CCR4	P51679
MRPL39	Q9NYK5
PIGK	Q92643
PIGT	Q969N2
ULBP2	Q9BZM5
RAP2A	P10114
CTSH	P09668
ASIC1	P78348
VAV2	P52735
KRT7	P08729
PLEC	Q15149
RHOD	O00212
DIAPH2	O60879
MARCKS	P29966
CHP2	O43745
SLC9A2	Q9UBY0
SLC9A4	Q6AI14
SLC9A5	Q14940
CHP1	Q99653
CHM	P24386
TNRC6A	Q8NDV7
GRIK5	Q16478
PDK1	Q15118
CYB561D2	O14569
CRMP1	Q14194
ABCF3	Q9NUQ8
ACIN1	Q9UKV3
DNALI1	O14645
LAMTOR1	Q6IAA8
CHGB	P05060
MRPL20	Q9BYC9
ACP5	P13686
SLC35F6	Q8N357
ADAM11	O75078
STC2	O76061
ADH5	P11766
UBE2W	Q96B02
ALDH2	P05091
ARMCX3	Q9UH62
ANXA6	P08133
CDC73	Q6P1J9
CCDC90B	Q9GZT6
APOBEC3G	Q9HC16
PTN	P21246
NOA1	Q8NC60
ARL4D	P49703
NDRG1	Q92597
PGAM1	P18669
PRKCSH	P14314
ARL15	Q9NXU5
GRIPAP1	Q4V328
WDR91	A4D1P6
SGCE	O43556
ARAP1	Q96P48
CAPNS1	P04632
RNASE6	Q93091
ARSE	P51690
COQ6	Q9Y2Z9
ASCC2	Q9H1I8
CKAP4	Q07065
FAF1	Q9UNN5
IGSF9	Q9P2J2
GNL3	Q9BVP2
PIK3CD	O00329
CA12	O43570
DPP3	Q9NY33
ITIH2	P19823
NDUFB3	O43676
NGEF	Q8N5V2
GDPD2	Q9HCC8
ATP5J2	P56134
ARL8B	Q9NVJ2
LPP	Q93052
ZFPL1	O95159
ATPIF1	Q9UII2
C14ORF1	Q9UKR5
RCN2	Q14257
C16ORF45	Q96MC5
ENO2	P09104
BRD1	O95696
FRA10AC1	Q70Z53
ADPRHL2	Q9NX46
C7ORF25	Q9BPX7
VPS29	Q9UBQ0
C11ORF1	Q9H5F2
EMG1	Q92979
SLC25A38	Q96DW6
NREP	Q16612
IGSF21	Q96ID5
ORAI2	Q96SN7
C7ORF26	Q96N11
AK5	Q9Y6K8
FAM219A	Q8IW50
POLA2	Q14181
CAAP1	Q9H8G2
CACNB4	O00305
CARHSP1	Q9Y2V2
CASP6	P55212
CBFB	Q13951
RPL12	P30050
CCL7	P80098
EIF2B2	P49770
CD58	P19256
CDCA5	Q96FF9
CDK5RAP2	Q96SN8
STARD9	Q9P2P6
CELSR1	Q9NYQ6
PSAP	P07602
ADAP2	Q9NPF8
CGA	P01215
CHN1	P15882
CIDEA	O60543
COL9A2	Q14055
COPS7A	Q9UBW8
PPBP	P02775
RBM48	Q5RL73
CPE	P16870
ROBO2	Q9HCK4
CPNE3	O75131
CPNE6	O95741
TMEM62	Q0P6H9
CTSE	P14091
CELF1	Q92879
RECQL5	O94762
CWF19L1	Q69YN2
TOM1L1	O75674
CXCL13	O43927
CSDE1	O75534
STT3A	P46977
DAP	P51397
ENY2	Q9NPA8
MCM3AP	O60318
DDR1	Q08345
DCK	P27707
BCS1L	Q9Y276
TRDMT1	O14717
MKS1	Q9NXB0
TPI1	P60174
DDX49	Q9Y6V7
DFNA5	O60443
DHX34	Q14147
IQCG	Q9H095
C4ORF17	Q53FE4
WIPI2	Q9Y4P8
COPS6	Q7L5N1
MPC2	O95563
PJA1	Q8NG27
FLYWCH1	Q4VC44
HJURP	Q8NCD3
ABCD4	O14678
GDF9	O60383
RFK	Q969G6
SLC16A8	O95907
PIN4	Q9Y237
DPT	Q07507
DPYSL4	O14531
MBD6	Q96DN6
EDN1	P05305
CD48	P09326
EFNA1	P20827
EGFL6	Q8IUX8
SH3GL2	Q99962
EIF2S2	P20042
PLEKHM1	Q9Y4G2
IL17B	Q9UHF5
NDUFS7	O75251
ST3GAL2	Q16842
DMTN	Q08495
PROCR	Q9UNN8
ETHE1	O95571
PSMB6	P28072
WDR61	Q9GZS3
WSB2	Q9NYS7
F10	P00742
FAU	P35544
FAU	P62861
FBP2	O00757
FBXL12	Q9NXK8
FXYD3	Q14802
FBXO34	Q9NWN3
FCHO1	O14526
SMG7	Q92540
BORA	Q6PGQ7
CCDC17	Q96LX7
HBZ	P02008
NDUFS6	O75380
RNF130	Q86XS8
FKBPL	Q9UIM3
MAP7D1	Q3KQU3
THNSL2	Q86YJ6
C7ORF43	Q8WVR3
TMEM50A	O95807
AAGAB	Q6PD74
CENPT	Q96BT3
DHX29	Q7Z478
FAM161A	Q3B820
PPM1F	P49593
CCDC92	Q53HC0
KATNBL1	Q9H079
HEXDC	Q8WVB3
ANKRD13B	Q86YJ7
HYLS1	Q96M11
FMNL1	O95466
MAP3K12	Q12852
FXYD6	Q9H0Q3
HAUS2	Q9NVX0
SLC35E1	Q96K37
GAL3ST4	Q96RP7
GC	P02774
MOGS	Q13724
GLUD2	P49448
BTBD10	Q9BSF8
GOLGB1	Q14789
BRMS1	Q9HCU9
GOLM1	Q8NBJ4
C1ORF174	Q8IYL3
RPL13A	P40429
GPAA1	O43292
HIGD1B	Q9P298
WDR89	Q96FK6
ANKHD1	Q8IWZ3
MYO3A	Q8NEV4
MYO9A	B2RTY4
UQCRQ	O14949
ZNF410	Q86VK4
GSR	P00390
HBB	P68871
HMOX2	P30519
ARHGAP44	Q17R89
RPS4X	P62701
HSPB3	Q12988
OLFML3	Q9NRN5
MRPL38	Q96DV4
NSMF	Q6X4W1
HSPBAP1	Q96EW2
CCDC106	Q9BWC9
PITHD1	Q9GZP4
IGFBP5	P24593
CD101	Q93033
ST13	P50502
ILVBL	A1L0T0
ISYNA1	Q9NPH2
ABCF1	Q8NE71
AKT1S1	Q96B36
MRPS31	Q92665
OFD1	O75665
SEPT3	Q9UH03
WFS1	O76024
IVNS1ABP	Q9Y6Y0
KCTD15	Q96SI1
WIPI1	Q5MNZ9
KIAA0232	Q92628
ODF2L	Q9ULJ1
KLK10	O43240
KIF15	Q9NS87
MAP1LC3A	Q9H492
LGALS4	P56470
LMTK3	Q96Q04
ZNF691	Q5VV52
FAM135B	Q49AJ0
HGH1	Q9BTY7
TMEM256	Q8N2U0
TRIT1	Q9H3H1
NDUFA4L2	Q9NRX3
ANXA9	O76027
QTRT1	Q9BXR0
GPR108	Q9NPR9
FAM178B	Q8IXR5
LYPLA2	O95372
DKC1	O60832
PLA2G15	Q8NCC3
MAFF	Q9ULX9
MPC1	Q9Y5U8
PAM16	Q9Y3D7
XPNPEP1	Q9NQW7
ATP6V0C	P27449
SAAL1	Q96ER3
PMPCB	O75439
PNPLA2	Q96AD5
MCOLN1	Q9GZU1
MDH2	P40926
WARS	P23381
TMEM216	Q9P0N5
PNMA6A	P0CW24
PNMA1	Q8ND90
FAM69B	Q5VUD6
RBMS2	Q15434
FAM173A	Q9BQD7
CCDC86	Q9H6F5
TMEM43	Q9BTV4
NOL12	Q9UGY1
RPL8	P62917
STK40	Q8N2I9
MGLL	Q99685
HPS6	Q86YV9
MPHOSPH6	Q99547
MDH1	P40925
CCDC137	Q6PK04
RPS2	P15880
MRPS26	Q9BYN8
MS4A7	Q9GZW8
HMGCL	P35914
MYO9B	Q13459
ARHGEF40	Q8TER5
NAP1L1	P55209
NDUFA6	P56556
NDUFA7	O95182
NDUFB8	O95169
NDUFV2	P19404
SP110	Q9HB58
NEU1	Q99519
NHP2L1	P55769
CRCT1	Q9UGL9
NPM3	O75607
LIPE	Q05469
RPL22	P35268
TARDBP	Q13148
NUCKS1	Q9H1E3
NUDT5	Q9UKK9
OLFM2	O95897
ORMDL3	Q8N138
REXO1	Q8N1G1
PEX14	O75381
AFG3L2	Q9Y4W6
BSDC1	Q9NW68
RPL7	P18124
PHYHIP	Q92561
MAGED4B	Q96JG8
FAM131A	Q6UXB0
METTL18	O95568
NDUFV3	P56181
ZZEF1	O43149
PIGC	Q92535
PISD	Q9UG56
DAGLB	Q8NCG7
PLCE1	Q9P212
PLP2	Q04941
CDH24	Q86UP0
FSD1	Q9BTV5
IDO1	P14902
PBDC1	Q9BVG4
PAPSS1	O43252
RGMA	Q96B86
PPP1R1B	Q9UD71
DLGAP4	Q9Y2H0
PRDX5	P30044
PRG2	P13727
PRNP	P04156
PSMD14	O00487
PTPN4	P29074
PTPRCAP	Q14761
PWP2	Q15269
RAB11B	Q15907
RAB18	Q9NP72
HIVEP1	P15822
RAB35	Q15286
CBR3	O75828
MEX3B	Q6ZN04
RASGRP2	Q7LDG7
DDX42	Q86XP3
MAPK8IP1	Q9UQF2
MTSS1	O43312
RER1	O15258
RGS1	Q08116
WDR74	Q6RFH5
LRFN1	Q9P244
NIPSNAP1	Q9BPW8
RUFY3	Q7L099
RNF146	Q9NTX7
RNF2	Q99496
RBM23	Q86U06
SNUPN	O95149
TNNT3	P45378
RPL10	P27635
RPL15	P61313
MDK	P21741
SYBU	Q9NX95
RPS6KA6	Q9UK32
RRAS2	P62070
RUSC2	Q8N2Y8
SGSM2	O43147
AFP	P02771
CELSR3	Q9NYQ7
ILF2	Q12905
PDCD11	Q14690
EVA1A	Q9H8M9
NMRK2	Q9NPI5
INO80C	Q6PI98
SARAF	Q96BY9
C9ORF9	Q96E40
SERPINA5	P05154
SCG5	P05408
ST3GAL3	Q11203
SCAMP2	O15127
SLC25A11	Q02978
COPA	P53621
SLC27A6	Q9Y2P4
TNFRSF10C	O14798
SLC38A3	Q99624
SUMO2	P61956
PRRT2	Q7Z6L0
LAMC1	P11047
RALY	Q9UKM9
PRSS23	O95084
B2M	P61769
EFNA3	P52797
GRK6	P43250
NIPBL	Q6KC79
NCAPD3	P42695
MAPK8IP2	Q13387
PHF23	Q9BUL5
RECQL4	O94761
SHMT1	P34896
TRAPPC4	Q9Y296
SSFA2	P28290
SUPT7L	O94864
STAU2	Q9NUL3
PHIP	Q8WWQ0
ASNS	P08243
CLDN12	P56749
NBEA	Q8NFP9
PI4KA	P42356
ECSIT	Q9BQ95
MTG1	Q9BT17
STUB1	Q9UNE7
SLC38A2	Q96QD8
CCSER2	Q9H7U1
SUMF2	Q8NBJ7
CGGBP1	Q9UFW8
PDPN	Q86YL7
TAC3	Q9UHF0
TAZ	Q16635
WDR47	O94967
TAX1BP3	O14907
TCF21	O43680
TDGF1	P13385
THAP8	Q8NA92
TM4SF1	P30408
TSPAN6	O43657
TNFSF10	P50591
PSMG2	Q969U7
CELF3	Q5SZQ8
DNAJA2	O60884
TOMM20	Q15388
USP4	Q13107
TP53I3	Q53FA7
FUNDC2	Q9BWH2
TPD52L1	Q16890
GPR135	Q8IZ08
TRIM46	Q7Z4K8
CORO2B	Q9UQ03
TSPYL1	Q9H0U9
TUBB3	Q13509
SPTSSA	Q969W0
SEL1L3	Q68CR1
LAPTM4A	Q15012
MRPL28	Q13084
ROBO1	Q9Y6N7
CBWD5	Q5JTY5
CBWD5	Q5RIA9
PAEP	P09466
UBXN4	Q92575
UGDH	O60701
UMPS	P11172
USP13	Q92995
USP22	Q9UPT9
HEXA	P06865
MRPL10	Q7Z7H8
WFDC2	Q14508
RNF114	Q9Y508
ZNF585B	Q52M93
ZNF594	Q96JF6
ALB	P02768
ANXA3	P12429
TXNDC9	O14530
B4GALT3	O60512
UBR1	Q8IWV7
RHOH	Q15669
SLC1A6	P48664
ASAH1	Q13510
URM1	Q9BTM9
POLDIP2	Q9Y2S7
CCT7	Q99832
ATP6AP1	Q15904
ANG	P03950
ATP6V1F	Q16864
BTBD2	Q9BX70
C10ORF88	Q9H8K7
YLPM1	P49750
YAE1D1	Q9NRH1
PLGRKT	Q9HBL7
UCHL1	P09936
CCL18	P55774
CDH10	Q9Y6N8
SENP2	Q9HC62
ZPR1	O75312
CHN2	P52757
CKMT2	P17540
COMMD3	Q9UBI1
APOM	O95445
PNO1	Q9NRX1
CRIP1	P50238
ECH1	Q13011
DDIT4	Q9NX09
DDX11	Q96FC9
EIF4A2	Q14240
NAT9	Q9BTE0
GPR183	P32249
ELL3	Q9HB65
DYNC1LI2	O43237
MYO15A	Q9UKN7
CTSK	P43235
OGFOD2	Q6N063
PRPF38A	Q8NAV1
SPDL1	Q96EA4
SDHAF2	Q9NX18
C8ORF33	Q9H7E9
GLYAT	Q6IB77
SH3D21	A4FU49
GABBR2	O75899
RPL7A	P62424
GSTM4	Q03013
HLA-DQA1	P01909
HLA-DQA1	P01906
INO80B	Q9C086
TRIOBP	Q9H2D6
PPA1	Q15181
BBOX1	O75936
CCDC113	Q9H0I3
IDH1	O75874
ACAP3	Q96P50
ITSN2	Q9NZM3
REN	P00797
LEPR	P48357
LOR	P23490
MAFG	O15525
SIRT7	Q9NRC8
MAN2A2	P49641
MCTS1	Q9ULC4
DENR	O43583
DIS3L2	Q8IYB7
PGAM5	Q96HS1
HSPA1B	P0DMV8
HSPA1B	P0DMV9
MRPL42	Q9Y6G3
MRPS6	P82932
MYL9	P24844
NIPSNAP3A	Q9UFN0
NIT1	Q86X76
PNP	P00491
PEBP1	P30086
PCDHA4	Q9UN74
PDCD5	O14737
PECAM1	P16284
PLEKHA4	Q9H4M7
PPOX	P50336
PPP5C	P53041
KIDINS220	Q9ULH0
UBE2V2	Q15819
PSG1	P11464
PSMB10	P40306
PTPRK	Q15262
PTH	P01270
REG1B	P48304
ARFGAP1	Q8N6T3
RNF10	Q8N5U6
RPS3	P23396
EDEM2	Q9BV94
UTP3	Q9NQZ2
SERPINB9	P50453
SETMAR	Q53H47
PIM1	P11309
SHPRH	Q149N8
SLC2A1	P11166
SPAG5	Q96R06
TSSC4	Q9Y5U2
SSR1	P43307
C9ORF78	Q9NZ63
SYN1	P17600
TAC1	P20366
CAMKV	Q8NCB2
TK1	P04183
TMSB4X	P62328
SOBP	A7XYQ1
UCK1	Q9HA47
ZEB2	O60315
ZNF20	P17024
ZNF7	P17097
ANKRD24	Q8TF21
SNRPN	P63162
ARL3	P36405
BHLHE40	O14503
CETN3	O15182
TUBB4B	P68371
ATN1	P54259
HK1	P19367
SLC25A36	Q96CQ1
ROGDI	Q9GZN7
GIPC2	Q8TF65
GPD1	P21695
GSTO1	P78417
LAMA4	Q16363
LRRC1	Q9BTT6
MRPL12	P52815
RPLP0	P05388
PSG9	Q00887
PEX2	P28328
RBM5	P52756
RPS21	P63220
SOCS3	O14543
TIMP1	P01033
TMPRSS3	P57727
ZBTB45	Q96K62
RSRC1	Q96IZ7
COPE	O14579
NR1I2	O75469
CUL9	Q8IWT3
NOTCH4	Q99466
GFRA1	P56159
GDNF	P39905
NRTN	Q99748
GFRA2	O00451
CSF2RB	P32927
CEBPB	P17676
TG	P01266
CTLA4	P16410
CD80	P33681
CD28	P10747
HFE	Q30201
TFRC	P02786
CEACAM8	P31997
ALK	Q9UM73
COL14A1	Q05707
GLS	O94925
CAPN2	P17655
TIA1	P31483
SRP9	P49458
FGFR2	P21802
SYK	P43405
NCOR2	Q9Y618
NCOR1	O75376
KIF1C	O43896
IL12RB2	Q99665
CD63	P08962
PTPRD	P23468
SH2B1	Q9NRF2
SH2B1	Q9NRF2
PAX5	Q02548
FGR	P09769
CAP1	Q01518
PDGFA	P04085
PDGFB	P01127
ITGA2	P17301
LRP5	O75197
NR2F1	P10589
PMCH	P20382
NPY	P01303
MRVI1	Q9Y6F6
DES	P17661
GMIP	Q9P107
CREM	Q03060
ROCK1	Q13464
NET1	Q7Z628
KTN1	Q86UP2
NET1	Q7Z628
TNFRSF9	Q07011
NRF1	Q16656
DYNLL1	P63167
MAP4K1	Q92918
MRAS	O14807
TMOD1	P28289
TMOD4	Q9NZQ9
FRS2	Q8WU20
SFRP2	Q96HF1
WNT4	P56705
PDC	P20941
SNX1	Q13596
F2R	P25116
THBS1	P07996
FOSL2	P15408
ITGB1BP1	O14713
APOC2	P02655
BCL2L14	Q9BZR8
GEMIN5	Q8TEQ6
PRKCQ	Q04759
MAFK	O60675
SLC7A5	Q01650
PLAGL1	Q9UM63
MCM2	P49736
LMO1	P25800
BLNK	Q8WV28
CFHR4	Q92496
DNM3	Q9UQ16
AGFG1	P52594
EPS15L1	Q9UBC2
STK26	Q9P289
IGF2	P01344
CDH8	P55286
NCF2	P19878
STK11IP	Q8N1F8
CPLX1	O14810
CPLX2	Q6PUV4
AGPS	O00116
GNPAT	O15228
PGF	P49763
COPS8	Q99627
COPS7B	Q9H9Q2
CX3CL1	P78423
CX3CR1	P49238
PTPRE	P23469
CD8A	P01732
CD8B	P10966
APBA3	O96018
RASA1	P20936
TJP1	Q07157
FGFBP1	Q14512
C3	P01024
CFP	P27918
ERG	P11308
SYNM	O15061
RHO	P08100
CSRP3	P50461
LDHD	Q86WU2
THBD	P07204
PROC	P04070
NEFL	P07196
NEFH	P12036
ST14	Q9Y5Y6
SPINT1	O43278
WASF3	Q9UPY6
WASF2	Q9Y6W5
CSNK1A1	P48729
HMGB2	P26583
PPP1R14A	Q96A00
ERF	P50548
HMOX1	P09601
AMPH	P49418
C5	P01031
C6	P13671
C7	P10643
CACNG2	Q9Y698
GRIA4	P48058
GRM7	Q14831
INHA	P05111
STAT5B	P51692
SCTR	P47872
SCT	P09683
RAB11FIP3	O75154
RAB11FIP5	Q9BXF6
RAVER1	Q8IY67
S100Z	Q8WXG8
GDF5	P43026
GDF6	Q6KF10
UTY	O14607
KDM6A	O15550
TLE2	Q04725
ITGA5	P08648
CSF1	P09603
PDGFC	Q9NRA1
GLI2	P10070
FAP	Q12884
AP3S2	P59780
ARF5	P84085
HNRNPF	P52597
PDCD2	Q16342
ARCN1	P48444
GPC3	P51654
MYCN	P04198
MYCL	P12524
PTPRJ	Q12913
KLKB1	P03952
F11	P03951
GLDC	P23378
OXCT2	Q9BYC2
GRAP2	O75791
FCGR2A	P12318
FCGR1A	P12314
GOSR1	O95249
GOSR2	O14653
STX17	P56962
FURIN	P09958
FLNA	P21333
SSRP1	Q08945
IL2RG	P31785
CFI	P05156
SF3B6	Q9Y3B4
RERE	Q9P2R6
SHC1	P29353
RPS6KA1	Q15418
ETV1	P50549
FGF19	O95750
FGFR4	P22455
PDE4A	P27815
PRAM1	Q96QH2
SKAP2	O75563
KPNB1	Q14974
SNAP23	O00161
SNAP25	P60880
C1S	P09871
APBA1	Q02410
APBA2	Q99767
STX5	Q13190
MAP3K14	Q99558
PSKH1	P11801
SH2B2	O14492
MUSK	O15146
SFTPA1	Q8IWL2
DMBT1	Q9UGM3
COL7A1	Q02388
CXCR4	P61073
ALPP	P05187
TNFRSF10A	O00220
CPB2	Q96IY4
FLNB	O75369
NOSTRIN	Q8IVI9
SOS2	Q07890
LY96	Q9Y6Y9
NOS1AP	O75052
SCN3A	Q9NY46
PRLHR	P49683
LDLR	P01130
ITGB3	P05106
GUCY2F	P51841
APCS	P02743
MMP2	P08253
DNAJC3	Q13217
KLK1	P06870
SERPINA4	P29622
HIST1H1A	Q02539
SHOC2	Q9UQ13
KRT5	P13647
GP1BA	P07359
VWF	P04275
CTCF	P49711
LMX1A	Q8TE12
BRD2	P25440
C8B	P07358
ZPR1	O75312
CAV2	P51636
PLCG2	P16885
TNKS2	Q9H2K2
ALAS2	P22557
SUCLA2	Q9P2R7
NECAB3	Q96P71
GNG13	Q9P2W3
GNAT3	A8MTJ3
EHD1	Q9H4M9
EHD3	Q9NZN3
ST6GAL1	P15907
DUSP22	Q9NRW4
IFNAR2	P48551
IFNA2	P01563
ARL2	P36404
ARL3	P36405
CHRNE	Q04844
CHRNA1	P02708
FXYD7	P58549
ATP1A1	P05023
ATP1B1	P05026
TPBG	Q13641
SRP19	P09132
SRP19	Q15695
IPO5	O00410
IPO7	O95373
IPO8	O15397
CISH	Q9NSE2
YKT6	O15498
SEC22A	Q96IW7
BET1L	Q9NYM9
NR0B2	Q15466
MLXIP	Q9HAP2
TEC	P42680
ACVR2B	Q13705
NOS2	P35228
GAR1	Q9NY12
SEC61B	P60468
ELF1	P32519
TRPC5	Q9UL62
TRPC4	Q9UBN4
DAZL	Q92904
DAZ1	Q9NQZ3
CNR1	P21554
TRAF5	O00463
ZHX1	Q9UKY1
FCGR3B	O75015
IGHG1	P01857
MELK	Q14680
TNIK	Q9UKE5
ITGB4	P16144
ADRB2	P07550
ADRB3	P13945
CUBN	O60494
ADRB3	P13945
APOL1	O14791
KCNN2	Q9H2S1
PICK1	Q9NRD5
NOG	Q13253
LY86	O95711
CD180	Q99467
SH3BP5	O60239
MSTN	O14793
FSTL3	O95633
AXL	P30530
TENC1	Q63HR2
NAB2	Q15742
AXIN2	Q9Y2T1
DUSP3	P51452
SSX2IP	Q9Y2D8
DDX1	Q92499
RAB3B	P20337
FBXL4	Q9UKA2
FBXL5	Q9UKA1
BGN	P21810
GTF2F2	P13984
MSR1	P21757
SYTL1	Q8IYJ3
AKAP12	Q02952
CD36	P16671
HSD11B1	P28845
NID1	P14543
NID1	P14543
NID2	Q14112
GRK4	P32298
GRK5	P34947
LCT	P09848
JAK2	O60674
IFNGR2	P38484
AREG	P15514
PLIN3	O60664
TNFSF11	O14788
MEP1B	Q16820
PYY	P10082
GAST	P01350
MEP1A	Q16819
NTS	P30990
GNRH1	P01148
SIL1	Q9H173
HNRNPM	P52272
M6PR	P20645
LRAT	O95237
GRHL3	Q8TE85
GRHL1	Q9NZI5
GRHL2	Q6ISB3
MBL2	P11226
PSMB4	P28070
HLA-F	P30511
TMPO	P42167
TMPO	P42166
ICAM5	Q9UMF0
RARB	P10826
IL10RA	Q13651
AMBP	P02760
ITGA8	P53708
IL7R	P16871
PDIA3	P30101
CD46	P15529
FCGRT	P55899
RYR3	Q15413
ADAM10	O14672
NPHS2	Q9NP85
NPHS1	O60500
NPHS2	Q9NP85
UTRN	P46939
BRD4	O60885
HERC5	Q9UII4
PSPN	O60542
GFRA4	Q9GZZ7
ROS1	P08922
CDC25C	P30307
CIDEB	Q9UHD4
PCNT	O95613
ADAM9	Q13443
CHRNG	P07510
CHRND	Q07001
NLRP1	Q9C000
KIF17	Q9P2E2
KIF3A	Q9Y496
HPCA	P84074
DPM2	O94777
DPM3	Q9P2X0
SPARC	P09486
COL3A1	P02461
ICAM1	P05362
IL5RA	Q01344
MMP7	P09237
TNFSF8	P32971
TNFRSF8	P28908
ENG	P17813
CDC42EP5	Q6NZY7
SEPT7	Q16181
SEPT2	Q15019
SEPT6	Q14141
CDC42EP2	O14613
POLH	Q9Y253
CTGF	P29279
GRK1	Q15835
SKIL	P12757
DMD	P11532
MEIS1	O00470
CD38	P28907
FCGR3A	P08637
APOA2	P02652
APOF	Q13790
EIF1AX	P47813
TNFRSF12A	Q9NP84
FLT4	P35916
VEGFC	P49767
TRPC7	Q9HCX4
SLA	Q13239
LAT	O43561
PTPN1	P18031
PSMC3IP	Q9P2W1
PSMC3IP	Q9P2W1
GGH	Q92820
PPP3R1	P63098
HDAC6	Q9UBN7
TNKS1BP1	Q9C0C2
CDH23	Q9H251
CCL3	P10147
CRY1	Q16526
ABCD1	P33897
ABCD2	Q9UBJ2
TNFAIP6	P98066
TJP3	O95049
PPEF1	O14829
PPEF2	O14830
F12	P00748
DYNLT1	P63172
SH3BP2	P78314
GALNT12	Q8IXK2
MUC5AC	P98088
ITGB6	P18564
GRB2	P62993
SSTR2	P30874
TP53AIP1	Q9HCN2
VTN	P04004
TCF20	Q9UGU0
KCNJ5	P48544
CAMK2G	Q13555
FLT3	P36888
ATP2B4	P23634
NRP1	O14786
LATS1	O95835
PTPRA	P18433
ZNF148	Q9UQR1
GNG10	P50151
SMAD5	Q99717
SRP54	P61011
KCNG3	Q8TAE7
KCNH1	O95259
KCNV2	Q8TDN2
KCNF1	Q9H3M0
EPHA2	P29317
EIF5	P55010
OTC	P00480
CHMP3	Q9Y3E7
LGALS3	P17931
MLH3	Q9UHC1
PMS1	P54277
NCR1	O76036
GRIN3B	O60391
TWIST1	Q15672
TGFBI	Q15582
MKI67	P46013
CDC42SE1	Q9NRR8
CDC42SE2	Q9NRR3
KLRK1	P26718
ITGAL	P20701
FBLN2	P98095
GRIN2C	Q14957
IL10	P22301
NR6A1	Q15406
TEAD2	Q15562
PRF1	P14222
EDF1	O60869
NR5A2	O00482
NR1H3	Q13133
DAG1	Q14118
CRP	P02741
C1QA	P02745
ZNF335	Q9H4Z2
CBLC	Q9ULV8
DOCK2	Q92608
RPS6KC1	Q96S38
SPHK1	Q9NYA1
CLINT1	Q14677
GYPC	P04921
BCL2L10	Q9HD36
POU1F1	P28069
OSM	P13725
LTA	P01374
ATOX1	O00244
SYNRG	Q9UMZ2
GM2A	P17900
NQO1	P15559
CRIPT	Q9P021
RAD18	Q9NS91
DEFB103B	P81534
FXN	Q16595
VGLL1	Q99990
PTCH1	Q13635
SMO	Q99835
PTCH2	Q9Y6C5
TIMP3	P35625
MST1R	Q04912
PTPRR	Q15256
PTPN5	P54829
S1PR4	O95977
SERPIND1	P05546
NAGPA	Q9UK23
RASSF5	Q8WWW0
NUCB1	Q02818
NUCB1	Q02818
ACTR1A	P61163
CRHR1	P34998
UCN	P55089
CRHR2	Q13324
CRHBP	P24387
DDB2	Q92466
ADRBK2	P35626
IGFBP1	P08833
AHSG	P02765
NR0B2	Q15466
PCBP2	Q15366
IFNB1	P01574
APEX1	P27695
MMP3	P08254
FABP1	P07148
BST1	Q10588
DIAPH3	Q9NSV4
CGN	Q9P2M7
TAF1A	Q15573
TAF1B	Q53T94
PIGP	P57054
PIGA	P37287
PIGQ	Q9BRB3
SH2D2A	Q9NP31
CXCL12	P48061
RXRA	P19793
HNF4A	P41235
THRB	P10828
MYBL1	P10243
C1D	Q13901
BLK	P51451
AMD1	P17707
HLA-DMA	P28067
HLA-DRB1	Q9GIY3
HLA-DRB1	Q29974
HLA-DRB1	P01911
HLA-DRB1	P04229
VAPA	Q9P0L0
VAMP1	P23763
ANKS1B	Q7Z6G8
IL3	P08700
IL3RA	P26951
KIR2DL1	P43626
RETN	Q9HD89
FRK	P42685
ACR	P10323
KPNA2	P52292
KPNA1	P52294
SOX3	P41225
PKMYT1	Q99640
STX12	Q86Y82
CD19	P15391
CR2	P20023
HSPA5	P11021
GDF15	Q99988
UCP1	P25874
WBP1	Q96G27
WBP2	Q969T9
COL4A2	P08572
TPD52	P55327
MAL2	Q969L2
LEP	P41159
ELMO1	Q92556
POU2AF1	Q16633
ARHGAP35	Q9NRY4
TAF12	Q16514
TAF8	Q7Z7C8
RCAN1	P53805
ACBD3	Q9H3P7
TNFRSF21	O75509
SERPINF2	P08697
HSPA14	Q0VDF9
MID1	O15344
TRIM3	O75382
TRIM5	Q9C035
TRIM6	Q9C030
TRIM8	Q9BZR9
TRIM11	Q96F44
TRIM25	Q14258
TRIM26	Q12899
CYBA	P13498
ATF4	P18848
FH	P07954
TNFSF14	O43557
LTBR	P36941
ATF2	P15336
F13A1	P00488
F13B	P05160
AANAT	Q16613
PKIA	P61925
TRIM63	Q969Q1
IRS4	O14654
RANGRF	Q9HD47
ADORA1	P30542
DRD1	P21728
STIM1	Q13586
STIM2	Q9P246
PTH1R	Q03431
PTHLH	P12272
ERRFI1	Q9UJM3
CLPP	Q16740
DNAJC7	Q99615
SPTB	P11277
RGS18	Q9NS28
BECN1	Q14457
C4BPA	P04003
HOXC4	P09017
HOXD4	P09016
DLX2	Q07687
MAP3K13	O43283
MME	P08473
FGB	P02675
KCND2	Q9NZV8
NFIL3	Q16649
DGAT1	O75907
RAC3	P60763
NPR3	P17342
NPPA	P01160
NPPC	P23582
NPR2	P20594
CSF3R	Q99062
TNFRSF11B	O00300
RNF144A	P50876
ALCAM	Q13740
CD6	P30203
TAS1R1	Q7RTX1
TAS1R3	Q7RTX0
TAS1R2	Q8TE23
C1R	P00736
